Date,MA,V,ratio,z_score,signal,cumulative_profit,MA_buyhold,V_buyhold,buyhold_total
2025-01-02,516.8804321289062,310.895751953125,1.6625522506555135,0.859697555252094,Hold,0,10000.0,10000.0,0.0
2025-01-03,515.851318359375,311.4000244140625,1.6565551635071731,0.7198462585008224,Hold,0,9980.089906570993,10016.21998556653,-3.6901078624796355
2025-01-06,506.52105712890625,309.55096435546875,1.6363090910847544,0.24771046784802234,Hold,0,9799.578889892731,9956.744741952632,-243.6763681546363
2025-01-07,505.99664306640625,308.1961975097656,1.6418004088138467,0.375767287148928,Hold,0,9789.433137995333,9913.168500167658,-297.3983618370112
2025-01-08,510.94378662109375,309.1158142089844,1.65292024262356,0.6350803735657925,Hold,0,9885.14470390452,9942.748084109911,-172.10721198556712
2025-01-10,500.07373046875,304.28033447265625,1.643463851633463,0.4145585585846463,Hold,0,9674.843530235155,9787.214285209462,-537.9421845553807
2025-01-13,500.3115234375,303.4991455078125,1.648477535580479,0.5314770198555109,Hold,0,9679.44407136554,9762.087246324687,-558.4686823097727
2025-01-14,504.3840942382813,305.6449279785156,1.6502289031072535,0.5723186840916644,Hold,0,9758.235423245653,9831.106602723827,-410.65797403052056
2025-01-15,517.5927124023438,312.75482177734375,1.6549471866202852,0.6823484454434303,Hold,0,10013.78036832433,10059.79720895315,73.57757727747958
2025-01-16,518.3756103515625,313.7139892578125,1.6523828330956498,0.622548052873148,Hold,0,10028.926965110633,10090.64894862611,119.57591373674222
2025-01-17,519.9213256835938,316.0575866699219,1.6450208683855425,0.45086798788851035,Hold,0,10058.831663295181,10166.03104688208,224.86271017726176
2025-01-21,523.2507934570312,320.0228576660156,1.6350419381702719,0.21816062575150075,Hold,0,10123.246324142838,10293.574474902016,416.82079904485363
2025-01-22,522.378662109375,319.9536437988281,1.6326698327518416,0.16284343415624516,Hold,0,10106.373343595595,10291.348202373278,397.7215459688741
2025-01-23,529.3545532226562,324.55181884765625,1.6310324653307022,0.12466023764091663,Hold,0,10241.334752069683,10439.249066889477,680.5838189591595
2025-01-24,528.6312866210938,326.5196838378906,1.6189874999497635,-0.15622679737818,Hold,0,10227.341833077111,10502.545685703719,729.8875187808299
2025-01-27,542.6524047851562,330.811279296875,1.6403685084092066,0.3423755548872061,Hold,0,10498.606080909301,10640.585380103643,1139.191461012946
2025-01-28,542.3749389648438,330.7519836425781,1.639823692035518,0.32967050750887145,Hold,0,10493.237995699155,10638.678128109223,1131.9161238083761
2025-01-29,543.8018798828125,332.1363830566406,1.6372848854383883,0.2704658659842725,Hold,0,10520.8447849926,10683.207505090586,1204.0522900831857
2025-01-30,560.85498046875,339.2264099121094,1.6533352477304544,0.6447582389897808,Hold,0,10850.768293911286,10911.259088649624,1762.027382560911
2025-01-31,550.3715209960938,337.9903564453125,1.6283645686948613,0.06244523310759786,Hold,0,10647.946542089932,10871.501277260058,1519.447819349989
2025-02-03,558.8138427734375,341.9655456542969,1.634123232222813,0.19673652186453447,Hold,0,10811.27874142609,10999.363725814317,1810.6424672404064
2025-02-04,554.0179443359375,341.302978515625,1.6232438015789958,-0.056970393812756134,Hold,0,10718.493289716362,10978.052172520023,1696.5454622363832
2025-02-05,561.1324462890625,345.5451965332031,1.6239046351065216,-0.04155984141036649,Hold,0,10856.13637912143,11114.503635459849,1970.6400145812804
2025-02-06,561.9945678710938,343.6070251464844,1.6355735673084908,0.23055814850406767,Hold,0,10872.815702393165,11052.162115045283,1924.9778174384483
2025-02-07,557.6246948242188,344.1409912109375,1.6203379111046632,-0.12473538388215262,Hold,0,10788.27249326303,11069.337199011488,1857.60969227452
2025-02-10,560.33984375,347.3152770996094,1.613346376322213,-0.2877770708581182,Hold,0,10840.802029244847,11171.438494018903,2012.2405232637502
2025-02-11,559.5570068359375,347.3945007324219,1.610724998974386,-0.3489072516108634,Hold,0,10825.656613295587,11173.986731886898,1999.643345182485
2025-02-12,559.4579467773438,348.1571960449219,1.606911915458896,-0.4378278660811301,Hold,0,10823.740114770275,11198.51892017537,2022.259034945644
2025-02-13,561.1524047851562,352.2579650878906,1.5930155181732941,-0.7618900536883427,Hold,0,10856.522512835403,11330.420659494956,2186.943172330357
2025-02-14,559.616455078125,350.4551696777344,1.5968275074747154,-0.6729949561486532,Hold,0,10826.806748578183,11272.43352397346,2099.240272551644
2025-02-18,563.431396484375,353.3475341796875,1.594553073059946,-0.7260344725694282,Hold,0,10900.61378728803,11365.466782993006,2266.0805702810358
2025-02-19,563.3224487304688,351.86175537109375,1.600976633952037,-0.5762378632658098,Hold,0,10898.5059931613,11317.676525350058,2216.1825185113557
2025-02-20,558.1500244140625,347.1666564941406,1.6077293541106037,-0.4187653024351159,Hold,0,10798.435957716114,11166.65809401231,1965.0940517284253
2025-02-21,552.4325561523438,345.2252502441406,1.6002090106725035,-0.5941387388748851,Hold,0,10687.821047452055,11104.212523823471,1792.033571275526
2025-02-24,553.9089965820312,346.5426330566406,1.5983862986678976,-0.6366441471077458,Hold,0,10716.385495589633,11146.586303594468,1862.9717991841026
2025-02-25,558.8931274414062,348.7514953613281,1.6025540675097563,-0.5394523166947456,Hold,0,10812.812648748566,11217.63463059189,2030.4472793404566
2025-02-26,556.1582641601562,347.30535888671875,1.6013523832252743,-0.5674754388061087,Hold,0,10759.90170240096,11171.119473484583,1931.021175885544
2025-02-27,559.6759643554688,352.36688232421875,1.5883330483950004,-0.8710846433774778,Hold,0,10827.958064697825,11333.923995762623,2161.882060460448
2025-02-28,571.061279296875,359.2707824707031,1.589501031421731,-0.8438474302386035,Hold,0,11048.22786470772,11555.988790894507,2604.2166556022275
2025-03-03,569.6838989257812,358.3892822265625,1.5895673424900159,-0.8423010647016014,Hold,0,11021.579915095454,11527.63522740569,2549.2151425011434
2025-03-04,550.0146484375,348.89019775390625,1.576469192824555,-1.1477482210371326,Hold,0,10641.042187883219,11222.096010064164,1863.1381979473808
